Alter;AlterJahr;Geschlecht;Anzahl;Altersgruppe
78-Jährige;78;männlich;13892;70 bis < 80 Jahre
78-Jährige;78;weiblich;17865;70 bis < 80 Jahre
78-Jährige;78;Insgesamt;31757;70 bis < 80 Jahre
79-Jährige;79;männlich;12664;70 bis < 80 Jahre
79-Jährige;79;weiblich;16623;70 bis < 80 Jahre
79-Jährige;79;Insgesamt;29287;70 bis < 80 Jahre
80-Jährige;80;männlich;14068;>= 80 Jahre
80-Jährige;80;weiblich;18781;>= 80 Jahre
80-Jährige;80;Insgesamt;32849;>= 80 Jahre
81-Jährige;81;männlich;12631;>= 80 Jahre
81-Jährige;81;weiblich;17475;>= 80 Jahre
81-Jährige;81;Insgesamt;30106;>= 80 Jahre
82-Jährige;82;männlich;11081;>= 80 Jahre
82-Jährige;82;weiblich;16110;>= 80 Jahre
82-Jährige;82;Insgesamt;27191;>= 80 Jahre
83-Jährige;83;männlich;9723;>= 80 Jahre
83-Jährige;83;weiblich;14484;>= 80 Jahre
83-Jährige;83;Insgesamt;24207;>= 80 Jahre
84-Jährige;84;männlich;8288;>= 80 Jahre
84-Jährige;84;weiblich;13126;>= 80 Jahre
84-Jährige;84;Insgesamt;21414;>= 80 Jahre
85-Jährige;85;männlich;7373;>= 80 Jahre
85-Jährige;85;weiblich;11629;>= 80 Jahre
85-Jährige;85;Insgesamt;19002;>= 80 Jahre
86-Jährige;86;männlich;6377;>= 80 Jahre
86-Jährige;86;weiblich;10436;>= 80 Jahre
86-Jährige;86;Insgesamt;16813;>= 80 Jahre
87-Jährige;87;männlich;5223;>= 80 Jahre
87-Jährige;87;weiblich;8911;>= 80 Jahre
87-Jährige;87;Insgesamt;14134;>= 80 Jahre
88-Jährige;88;männlich;3216;>= 80 Jahre
88-Jährige;88;weiblich;5861;>= 80 Jahre
88-Jährige;88;Insgesamt;9077;>= 80 Jahre
89-Jährige;89;männlich;2550;>= 80 Jahre
89-Jährige;89;weiblich;4905;>= 80 Jahre
89-Jährige;89;Insgesamt;7455;>= 80 Jahre
90 Jahre und mehr;90;männlich;8452;>= 80 Jahre
90 Jahre und mehr;90;weiblich;21529;>= 80 Jahre
90 Jahre und mehr;90;Insgesamt;29981;>= 80 Jahre
